date,strategy,sp500,sixty40
2018-08-01,1.0012916755095738,0.9983293640921984,0.998587575083596
2018-08-02,1.0113906487379434,1.0037678171542417,1.002002648897652
2018-08-03,1.010799040039478,1.0080688159813815,1.0054505111568912
2018-08-06,1.0165628400970341,1.0117655422461165,1.007928451796208
2018-08-07,1.01954017449584,1.0151068140621193,1.0092032188005402
2018-08-08,1.0195632423031076,1.0146802687238807,1.0089487800031536
2018-08-09,1.0207221649143159,1.0132939963745053,1.0086936272572735
2018-08-10,1.0156478980750536,1.00650481640784,1.0055140830017841
2018-08-13,1.011829464657527,1.0027369992535986,1.003482788624205
2018-08-14,1.02019576907486,1.0091351793267787,1.0069469122850245
2018-08-15,1.0075189045932669,1.0015995450182955,1.0030042862569726
2018-08-16,1.0141612535737727,1.00970390644443,1.0081000921426342
2018-08-17,1.0166605370830704,1.013258450929752,1.01045682220768
2018-08-20,1.0178145487922945,1.0154267230656986,1.0125514678419298
2018-08-21,1.025951414713037,1.0178082678705647,1.0136346231721198
2018-08-22,1.0291039611477502,1.01720399530816,1.0136159262388542
2018-08-23,1.026691377180739,1.0158532684039374,1.0125802923591367
2018-08-24,1.034021528721265,1.0219670849182916,1.0166926667404865
2018-08-27,1.0395264467022687,1.030035900899673,1.02097552329933
2018-08-28,1.0407212512144708,1.030533537127418,1.020505196250506
2018-08-29,1.047722276913621,1.0360786265241209,1.0237231366964878
2018-08-30,1.046406651177551,1.0318842640316408,1.021429013909761
2018-08-31,1.049210535058323,1.0319198094767936,1.0214117327143375
2018-09-04,1.041769822103875,1.0301425372339328,1.0199047912680645
2018-09-04,1.0340024102145604,1.0283683259814669,1.0184000730902834
2018-09-05,1.019573354465031,1.0256005564281307,1.0165634663487364
2018-09-06,1.0062941489022925,1.0225134288494866,1.0154179419602232
2018-09-07,1.0015241569169377,1.0205263122469483,1.0127804797280566
2018-09-10,1.0060808060471909,1.022300523499015,1.0142197942670017
2018-09-11,1.0155118365071736,1.025671524878421,1.0155369181092
2018-09-12,1.011824590629615,1.025919914453439,1.0159534193303212
2018-09-13,1.0247159382839952,1.0319877169358906,1.0198276050842487
2018-09-14,1.0246242743415759,1.0321651380614167,1.0191621770878774
2018-09-17,1.0029952180619341,1.0267005674046357,1.0159247394790802
2018-09-18,1.0155820982967778,1.0322715907362534,1.0183477711414555
2018-09-19,1.0135922473578813,1.0333716017127583,1.0182262289526849
2018-09-20,1.0331365764992042,1.0417458788230567,1.0237189693744144
2018-09-21,1.025130843918407,1.0407970306452987,1.0234703775894847
2018-09-24,1.0233289861920267,1.0373394700449325,1.0210421842195034
2018-09-25,1.0247280585677536,1.03637705626961,1.020279988345983
2018-09-26,1.0183694907642598,1.0332759452153935,1.0194170565515515
2018-09-27,1.0273787439176771,1.0361631865417604,1.0213965685494772
2018-09-28,1.0289206752824178,1.036270121405685,1.021034354060524
2018-11-01,1.0288475251725566,1.0472979377954996,1.0275785190559188
2018-11-02,1.0275879916359643,1.0410947910764698,1.022705512509769
2018-11-05,1.0279403073021711,1.0468384454459418,1.0263660980255644
2018-11-06,1.0276726969246415,1.0534627934861136,1.030302415674729
2018-11-07,1.027281115235911,1.0760162096450017,1.0438932296031438
2018-11-08,1.0271375027325984,1.0740633671589526,1.0419951229047397
2018-11-09,1.0276137726696264,1.0635716251768126,1.0364089759650397
2018-11-12,1.0283379719534755,1.0436985810571542,1.0254664141703445
2018-11-13,1.0284422914244662,1.0417457385715339,1.0244724721766791
2018-11-14,1.0291664491385337,1.0346236071529602,1.0203093195180974
2018-11-15,1.0296426489827732,1.0454216773684244,1.0272069200071547
2018-11-16,1.0303667592349413,1.0481403404364982,1.0294781826000645
2018-11-19,1.03121480514542,1.0304115939483949,1.0189909854782773
2018-11-20,1.0309471901572551,1.0113426614404626,1.0075206426124896
2018-11-21,1.0309274973894758,1.0147888540625742,1.0098502177886055
2018-11-23,1.0306598964353189,1.008011341906169,1.0056877365604642
2018-11-26,1.03076416010966,1.0242850292870536,1.015352561036151
2018-11-27,1.0308684197600586,1.0277312219091652,1.0175186953536288
2018-11-28,1.0312205696835115,1.0513950779126748,1.0323536916818676
2018-11-29,1.031448762136776,1.0490976161648862,1.0311970810007016
2018-11-30,1.0318008886460692,1.0554922180298505,1.0348504240634655
2018-12-03,1.0309421701814048,1.0694684436633748,1.0437485971375302
2018-12-04,1.0316673779053418,1.034815062298466,1.0245720562226712
2018-12-06,1.0326408552978112,1.0332451301042866,1.0246534624134105
2018-12-07,1.0337384436169248,1.00923665483818,1.0109128768034237
2018-12-10,1.033718706543535,1.0111512062949561,1.0123318656068552
2018-12-11,1.0327058450497977,1.011380952469735,1.0125849664742248
2018-12-12,1.032561986148194,1.0164736593441428,1.0153373261591168
2018-12-13,1.0335353545356767,1.0161290400819747,1.01524627436084
2018-12-14,1.0341362880850309,0.9973664358073665,1.0041139372650034
2018-12-17,1.0351095935874561,0.9777997199206039,0.9929793652598976
2018-12-18,1.0356950244391574,0.9767275711048262,0.9934890227705249
2018-12-19,1.0359238628917746,0.9621003979766666,0.9849375785343373
2018-12-20,1.035779790209753,0.9464393670615732,0.9749460293120983
2018-12-21,1.0365058120144186,0.9271613655344549,0.9628466073056814
2018-12-24,1.0373561042480377,0.9026630427889586,0.9478367101195285
2018-12-26,1.0363419593029055,0.9482699832458727,0.9758540163125524
2018-12-27,1.037440803792224,0.9555501451936309,0.9809772101795047
2018-12-28,1.0389124766994842,0.9543175251813166,0.9816639796575021
2018-12-31,1.0392655175810321,0.9626762296401711,0.9878210304747969
